Башкирское Bash_ugms
Верхне-Волжское VVlg_ugms
Дальневосточное DVos_ugms
Забайкальское ZBkl_ugms
Западно-Сибирское ZSib_ugms
Иркутское Irkt_ugms
Камчатское Kmch_ugms
Крымское Krym_ugms
Колымское Kolm_ugms
Мурманское Murm_ugms
Обь-Иртышское OIrt_ugms
Приморское PMor_ugms
Респ.Татарстан Kaz_ugms
Сахалинское Sahl_ugms
Северное Sevr_ugms
Северо-Западное SZap_ugms
Сев.-Кавказское SKav_ugms
Среднесибирское SSib_ugms
Центральное Cent_ugms
Центрально-Черноземное CCher_ugms
ЦАО CAO_ugms
Уральское Ural_ugms
Приволжское PVlg_ugms
Чукотское Chuk_ugms
Якутское Yakt_ugms
